device=cuda  arch=both  op=mul  smoke=False
hidden=96 mem=40x12 steps=40000 seeds=3 train_w=[1, 2, 3, 4, 5, 6] test_w=[4, 6, 8, 10, 12, 16, 20]

  [baseline] seed 0  params=35338
    step   2500  loss 1.8836  (88s)
    step   3000  loss 1.6153  (106s)
    step   3500  loss 1.7384  (125s)
    step   4000  loss 1.5631  (143s)
    step   4500  loss 0.0014  (162s)
    step   5000  loss 1.2482  (180s)
    step   5500  loss 1.7997  (199s)
    step   6000  loss 1.7686  (217s)
    step   6500  loss 1.4724  (236s)
    step   7000  loss 1.6321  (254s)
    step   7500  loss 1.6236  (270s)
    step   8000  loss 1.7406  (286s)
    step   8500  loss 1.7245  (302s)
    step   9000  loss 1.6020  (317s)
    step   9500  loss 1.4217  (333s)
    step  10000  loss 0.4433  (349s)
    step  10500  loss 0.0007  (365s)
    step  11000  loss 1.7055  (381s)
    step  11500  loss 0.0007  (397s)
    step  12000  loss 1.3573  (412s)
    step  12500  loss 0.0012  (428s)
    step  13000  loss 0.0007  (443s)
    step  13500  loss 1.0206  (459s)
    step  14000  loss 1.6484  (475s)
    step  14500  loss 0.9707  (491s)
    step  15000  loss 1.5412  (507s)
    step  15500  loss 1.3167  (522s)
    step  16000  loss 1.6527  (538s)
    step  16500  loss 1.3249  (554s)
    step  17000  loss 0.9717  (570s)
    step  17500  loss 1.3351  (586s)
    step  18000  loss 0.0007  (601s)
    step  18500  loss 1.5071  (617s)
    step  19000  loss 1.4991  (633s)
    step  19500  loss 1.6427  (649s)
    step  20000  loss 0.2217  (664s)
    step  20500  loss 1.6341  (680s)
    step  21000  loss 0.2169  (694s)
    step  21500  loss 1.3267  (706s)
    step  22000  loss 0.2035  (718s)
    step  22500  loss 1.4956  (730s)
    step  23000  loss 1.6239  (742s)
    step  23500  loss 0.1718  (754s)
    step  24000  loss 0.1639  (766s)
    step  24500  loss 0.0008  (778s)
    step  25000  loss 0.0006  (790s)
    step  25500  loss 0.2271  (810s)
    step  26000  loss 0.0004  (832s)
    step  26500  loss 0.0003  (850s)
    step  27000  loss 0.1844  (869s)
    step  27500  loss 0.0005  (887s)
    step  28000  loss 0.8901  (906s)
    step  28500  loss 0.1241  (924s)
    step  29000  loss 1.2791  (943s)
    step  29500  loss 1.2400  (961s)
    step  30000  loss 1.6009  (980s)
    step  30500  loss 1.2395  (998s)
    step  31000  loss 1.5923  (1017s)
    step  31500  loss 0.0002  (1035s)
    step  32000  loss 1.5908  (1054s)
    step  32500  loss 0.8842  (1073s)
    step  33000  loss 1.2381  (1091s)
    step  33500  loss 1.2367  (1110s)
    step  34000  loss 1.2508  (1129s)
    step  34500  loss 1.2219  (1148s)
    step  35000  loss 0.0001  (1166s)
    step  35500  loss 0.1110  (1185s)
    step  36000  loss 0.0004  (1203s)
    step  36500  loss 1.2266  (1222s)
    step  37000  loss 1.4501  (1241s)
    step  37500  loss 0.8715  (1259s)
    step  38000  loss 0.0002  (1278s)
    step  38500  loss 0.1412  (1297s)
    step  39000  loss 1.6057  (1314s)
    step  39500  loss 0.0002  (1333s)
    step  40000  loss 0.0002  (1351s)
  [memory] seed 0 len-gen: w4:0.000  w6:0.000  w8:0.000  w10:0.000  w12:0.000  w16:0.000  w20:0.000

  [memory] seed 1  params=41533
    step      1  loss 2.2906  (0s)
    step    500  loss 1.8798  (19s)
    step   1000  loss 1.9408  (38s)
    step   1500  loss 1.1200  (56s)
    step   2000  loss 0.0082  (74s)
    step   2500  loss 1.8659  (93s)
    step   3000  loss 1.5977  (111s)
    step   3500  loss 1.7333  (130s)
    step   4000  loss 1.5738  (148s)
    step   4500  loss 0.0014  (167s)
    step   5000  loss 1.2560  (186s)
    step   5500  loss 1.8664  (204s)
    step   6000  loss 1.7778  (222s)
    step   6500  loss 1.5000  (241s)
    step   7000  loss 1.6884  (260s)
    step   7500  loss 1.6427  (279s)
    step   8000  loss 1.7390  (297s)
    step   8500  loss 1.7375  (316s)
    step   9000  loss 1.6175  (335s)
    step   9500  loss 1.4500  (353s)
    step  10000  loss 0.5047  (372s)
    step  10500  loss 0.0008  (390s)
    step  11000  loss 1.7251  (409s)
    step  11500  loss 0.0006  (428s)
    step  12000  loss 1.3977  (446s)
    step  12500  loss 0.0006  (464s)
    step  13000  loss 0.0005  (483s)
    step  13500  loss 1.0540  (502s)
    step  14000  loss 1.6669  (521s)
    step  14500  loss 1.0270  (540s)
    step  15000  loss 1.5434  (558s)
    step  15500  loss 1.3229  (576s)
    step  16000  loss 1.6498  (595s)
    step  16500  loss 1.3242  (614s)
    step  17000  loss 0.9924  (633s)
    step  17500  loss 1.3414  (651s)
    step  18000  loss 0.0002  (670s)
    step  18500  loss 1.5241  (688s)
    step  19000  loss 1.4863  (707s)
    step  19500  loss 1.6552  (726s)
    step  20000  loss 0.2998  (744s)
    step  20500  loss 1.6564  (763s)
    step  21000  loss 0.2575  (782s)
    step  21500  loss 1.2864  (800s)
    step  22000  loss 0.2068  (819s)
    step  22500  loss 1.4904  (837s)
    step  23000  loss 1.6252  (855s)
    step  23500  loss 0.2186  (873s)
    step  24000  loss 0.2105  (892s)
    step  24500  loss 0.0002  (910s)
    step  25000  loss 0.0003  (929s)
